DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDERGOTHC,1,2021,31466,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDERGOTHC,1,2022,23953,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDERGOTHC,1,2023,20166,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDERGOTHC,2,2019,29991,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDERGOTHC,2,2020,22130,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDERGOTHC,2,2021,32627,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDERGOTHC,2,2022,26726,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDERGOTHC,2,2023,24215,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDERGOTHC,9,2019,57485,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDERGOTHC,9,2020,38934,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDERGOTHC,9,2021,64093,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDERGOTHC,9,2022,50679,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDERGOTHC,9,2023,44381,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDEROTHR,1,2019,81410,,,,TIPO_DATO15__FDEROTHR_N1,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDEROTHR,1,2020,68793,,,,TIPO_DATO15__FDEROTHR_N1,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDEROTHR,1,2021,90151,,,,TIPO_DATO15__FDEROTHR_N1,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDEROTHR,2,2019,50112,,,,TIPO_DATO15__FDEROTHR_N1,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDEROTHR,2,2020,44618,,,,TIPO_DATO15__FDEROTHR_N1,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDEROTHR,2,2021,65647,,,,TIPO_DATO15__FDEROTHR_N1,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDEROTHR,9,2019,131522,,,,TIPO_DATO15__FDEROTHR_N1,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDEROTHR,9,2020,113411,,,,TIPO_DATO15__FDEROTHR_N1,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FDEROTHR,9,2021,155798,,,,TIPO_DATO15__FDEROTHR_N1,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FHOUSMEMB_CP,1,2019,2323787,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FHOUSMEMB_CP,1,2020,2420080,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FHOUSMEMB_CP,1,2021,2368832,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FHOUSMEMB_CP,1,2022,2418290,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FHOUSMEMB_CP,1,2023,2479754,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FHOUSMEMB_CP,2,2019,2575262,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FHOUSMEMB_CP,2,2020,2609309,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FHOUSMEMB_CP,2,2021,2527411,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FHOUSMEMB_CP,2,2022,2588392,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FHOUSMEMB_CP,2,2023,2609737,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FHOUSMEMB_CP,9,2019,4899049,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FHOUSMEMB_CP,9,2020,5029389,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FHOUSMEMB_CP,9,2021,4896243,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FHOUSMEMB_CP,9,2022,5006682,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FHOUSMEMB_CP,9,2023,5089491,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FIDECTR,1,2019,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FIDECTR,1,2020,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FIDECTR,1,2021,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FIDECTR,1,2022,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FIDECTR,1,2023,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FIDECTR,2,2019,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FIDECTR,2,2020,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FIDECTR,2,2021,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FIDECTR,2,2022,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FIDECTR,2,2023,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FIDECTR,9,2019,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FIDECTR,9,2020,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FIDECTR,9,2021,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FIDECTR,9,2022,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FIDECTR,9,2023,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTNMIG,1,2019,103048,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTNMIG,1,2020,79997,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTNMIG,1,2021,94779,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTNMIG,1,2022,151850,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTNMIG,1,2023,190094,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTNMIG,2,2019,104038,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTNMIG,2,2020,72835,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTNMIG,2,2021,84735,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTNMIG,2,2022,133966,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTNMIG,2,2023,143897,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTNMIG,9,2019,207086,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTNMIG,9,2020,152832,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTNMIG,9,2021,179514,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTNMIG,9,2022,285816,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTNMIG,9,2023,333991,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTRNMIGR,1,2019,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTRNMIGR,1,2020,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTRNMIGR,1,2021,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTRNMIGR,1,2022,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTRNMIGR,1,2023,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTRNMIGR,2,2019,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTRNMIGR,2,2020,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTRNMIGR,2,2021,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTRNMIGR,2,2022,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTRNMIGR,2,2023,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTRNMIGR,9,2019,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTRNMIGR,9,2020,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTRNMIGR,9,2021,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTRNMIGR,9,2022,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FINTRNMIGR,9,2023,0,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FJAN,1,2019,2414285,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FJAN,1,2020,2431678,,,,,,,,
