"ITTER107","Territory","TIPO_DATO15","Data type","SEXISTAT1","Gender","ISO","Most relevant Country of citizenship","MOTIVOPS1","Reason","TIME","Select time","Value","Flag Codes","Flags"
"ITE31","Pesaro e Urbino","INFLNONEU","annual inflows of non-EU citizens","1","males","GH","Ghana","ALL1","international protection","2023","2023",4,,
"ITC32","Savona","INFLNONEU","annual inflows of non-EU citizens","2","females","MD","Moldova","ALL1","international protection","2023","2023",1,,
"ITD56","Ferrara","INFLNONEU","annual inflows of non-EU citizens","9","total","AL","Albania","ALL1","international protection","2019","2019",3,,
"ITD56","Ferrara","INFLNONEU","annual inflows of non-EU citizens","9","total","AL","Albania","ALL1","international protection","2020","2020",1,,
"ITD56","Ferrara","INFLNONEU","annual inflows of non-EU citizens","9","total","AL","Albania","ALL1","international protection","2021","2021",1,,
"ITD56","Ferrara","INFLNONEU","annual inflows of non-EU citizens","9","total","AL","Albania","ALL1","international protection","2023","2023",2,,
"ITC46","Bergamo","INFLNONEU","annual inflows of non-EU citizens","2","females","RU","Russia","ALL1","international protection","2022","2022",5,,
"ITC46","Bergamo","INFLNONEU","annual inflows of non-EU citizens","2","females","RU","Russia","ALL1","international protection","2023","2023",2,,
"ITD53","Reggio nell'Emilia","INFLNONEU","annual inflows of non-EU citizens","1","males","UA","Ukraine","ALL1","international protection","2019","2019",1,,
"ITD53","Reggio nell'Emilia","INFLNONEU","annual inflows of non-EU citizens","1","males","UA","Ukraine","ALL1","international protection","2022","2022",681,,
"ITD53","Reggio nell'Emilia","INFLNONEU","annual inflows of non-EU citizens","1","males","UA","Ukraine","ALL1","international protection","2023","2023",80,,
"ITG28","Oristano","INFLNONEU","annual inflows of non-EU citizens","1","males","PK","Pakistan","ALL1","international protection","2022","2022",17,,
"ITG28","Oristano","INFLNONEU","annual inflows of non-EU citizens","1","males","PK","Pakistan","ALL1","international protection","2023","2023",111,,
"ITG12","Palermo","INFLNONEU","annual inflows of non-EU citizens","9","total","RU","Russia","ALL1","international protection","2019","2019",1,,
