"ITTER107","Territory","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q3","Q3-2024",670.833,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",1061.337,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",1057.821,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",1064.774,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",1066.244,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",1056.508,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",988.656,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",932.915,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",1026.679,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",991.092,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",1003.939,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",1034.396,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",1044.016,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2023","2023",1013.094,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",1006.921,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",1025.763,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",1046.799,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",1058.1,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",1048.124,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",1057.304,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",1054.678,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",1015.96,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q1","Q1-2023",963.614,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q2","Q2-2023",967.947,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q3","Q3-2023",1045.242,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q4","Q4-2023",1075.572,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q1","Q1-2024",1044.372,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q2","Q2-2024",1077.151,,
