"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","CITTADINANZA","Citizenship","POSIZPROF","Professional status","CARATT_OCC","Temporary employees","TIME","Select time","Value","Flag Codes","Flags"
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q4","Q4-2023",106.857,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019","2019",77.648,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q1","Q1-2019",72.068,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q2","Q2-2019",78.689,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q4","Q4-2019",79.293,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q3","Q3-2019",80.544,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020","2020",64.724,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q2","Q2-2020",55.913,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q1","Q1-2020",75.186,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q3","Q3-2020",65.673,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q4","Q4-2020",62.124,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021","2021",66.318,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022","2022",66.995,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023","2023",65.279,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q1","Q1-2021",55.02,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q2","Q2-2021",64.248,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q3","Q3-2021",71.104,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q4","Q4-2021",74.902,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q1","Q1-2022",61.909,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q2","Q2-2022",75.207,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q3","Q3-2022",63.925,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q4","Q4-2022",66.937,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q1","Q1-2023",73.458,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q2","Q2-2023",63.609,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q3","Q3-2023",71.116,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q4","Q4-2023",52.932,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019","2019",68.214,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q1","Q1-2019",61.931,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q2","Q2-2019",70.879,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q4","Q4-2019",63.717,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q3","Q3-2019",76.33,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020","2020",63.646,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q2","Q2-2020",54.883,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q1","Q1-2020",69.985,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q3","Q3-2020",58.787,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q4","Q4-2020",70.928,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021","2021",67.992,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022","2022",73.356,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023","2023",68.768,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q1","Q1-2021",54.987,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q2","Q2-2021",63.535,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q3","Q3-2021",73.639,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q4","Q4-2021",79.808,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q1","Q1-2022",68.042,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q2","Q2-2022",64.213,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q3","Q3-2022",79.34,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q4","Q4-2022",81.83,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q1","Q1-2023",61.989,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q2","Q2-2023",60.694,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q3","Q3-2023",76.919,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q4","Q4-2023",75.471,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019","2019",78.524,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q1","Q1-2019",67.267,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q2","Q2-2019",82.706,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q4","Q4-2019",73.998,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q3","Q3-2019",90.124,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020","2020",72.612,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q2","Q2-2020",64.344,,
