"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","CITTADINANZA","Citizenship","REGIME_ORARIO","Full-time/Part-time","TIME","Select time","Value","Flag Codes","Flags"
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q2","Q2-2019",36.579,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q4","Q4-2019",27.054,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q3","Q3-2019",27.598,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2020","2020",32.824,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q2","Q2-2020",28.767,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q1","Q1-2020",37.714,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q3","Q3-2020",29.834,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q4","Q4-2020",34.981,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2021","2021",33.517,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2022","2022",24.868,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2023","2023",19.64,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q1","Q1-2021",33.145,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q2","Q2-2021",33.663,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q3","Q3-2021",35.673,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q4","Q4-2021",31.586,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q1","Q1-2022",24.409,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q2","Q2-2022",25.384,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q3","Q3-2022",25.382,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q4","Q4-2022",24.297,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q1","Q1-2023",20.526,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q2","Q2-2023",18.209,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q3","Q3-2023",17.936,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q4","Q4-2023",21.887,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2019","2019",597.279,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q1","Q1-2019",587.188,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q2","Q2-2019",611.154,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q4","Q4-2019",589.892,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q3","Q3-2019",600.88,,
